TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
986.7596,-13127.09,-10153.06,1944.69,11357.45,-13609.22,-7670.93,-23826.51,-32858.66
986.7996,-13132.0,-10170.75,1928.38,11440.8,-13386.87,-7571.79,-23823.31,-32862.38
986.8396,-13143.78,-10194.06,1911.88,11514.67,-13248.11,-7517.15,-23809.39,-32872.63
986.8796,-13127.14,-10177.42,1922.94,11458.64,-13242.2,-7529.07,-23781.92,-32863.91
986.9196,-13115.26,-10145.86,1949.98,11296.89,-13579.66,-7688.24,-23800.95,-32856.42
986.9596,-13140.3,-10161.02,1939.2,11340.81,-13621.38,-7688.24,-23839.81,-32870.63
986.9996,-13146.88,-10179.66,1922.66,11426.4,-13400.08,-7594.78,-23838.33,-32877.31
987.0396,-13152.65,-10196.69,1912.02,11504.51,-13257.84,-7533.27,-23818.92,-32882.36
987.0796,-13134.67,-10176.95,1928.95,11450.82,-13250.97,-7541.75,-23791.65,-32873.59
987.1196,-13123.66,-10151.96,1951.65,11290.98,-13585.86,-7697.77,-23807.48,-32863.57
987.1596,-13155.37,-10171.56,1933.86,11328.79,-13637.54,-7700.49,-23851.45,-32880.98
987.1996,-13155.75,-10178.42,1924.47,11416.82,-13411.48,-7595.78,-23846.25,-32884.32
987.2396,-13152.89,-10187.44,1910.5,11495.73,-13270.95,-7536.51,-23828.56,-32891.94
987.2796,-13139.2,-10174.85,1918.6,11442.57,-13263.32,-7550.62,-23803.48,-32884.89
987.3196,-13125.33,-10148.43,1958.75,11291.7,-13587.91,-7701.11,-23811.3,-32867.72
987.3596,-13156.7,-10174.56,1942.35,11332.32,-13643.41,-7705.98,-23854.12,-32884.46
987.3996,-13168.86,-10191.16,1920.56,11419.44,-13417.53,-7608.03,-23853.59,-32890.9
987.4396,-13159.52,-10192.87,1912.93,11500.74,-13268.0,-7541.32,-23831.8,-32892.9
987.4796,-13134.29,-10173.37,1924.8,11451.34,-13254.93,-7547.09,-23801.62,-32881.69
987.5196,-13125.66,-10154.34,1946.83,11296.46,-13582.57,-7698.87,-23810.15,-32866.15
987.5596,-13147.31,-10166.36,1944.11,11350.92,-13625.19,-7690.14,-23836.66,-32867.24
987.5996,-13146.59,-10172.08,1927.04,11444.57,-13393.98,-7583.09,-23829.27,-32867.91
987.6396,-13141.82,-10177.14,1916.46,11522.91,-13252.07,-7522.25,-23812.15,-32874.83
987.6796,-13122.08,-10161.11,1927.19,11473.47,-13238.38,-7529.5,-23783.88,-32866.96
987.7196,-13116.65,-10141.66,1948.55,11313.68,-13568.31,-7687.66,-23796.04,-32854.94
987.7596,-13139.58,-10156.01,1940.3,11356.26,-13619.14,-7686.57,-23830.85,-32863.0
987.7996,-13134.19,-10159.59,1932.67,11446.0,-13389.4,-7576.85,-23824.36,-32862.09
987.8396,-13137.34,-10173.37,1921.37,11519.58,-13249.02,-7516.05,-23808.05,-32867.34
987.8796,-13118.98,-10158.25,1931.81,11470.51,-13225.6,-7517.91,-23775.63,-32854.04
987.9196,-13108.06,-10129.07,1956.13,11306.33,-13556.1,-7675.27,-23789.5,-32844.98
987.9596,-13126.9,-10138.04,1954.37,11344.72,-13614.7,-7676.79,-23825.65,-32855.71
987.9996,-13130.67,-10149.81,1937.1,11433.03,-13389.06,-7576.32,-23825.08,-32861.76
988.0396,-13141.35,-10172.94,1920.18,11506.13,-13251.59,-7525.49,-23814.06,-32874.59
988.0796,-13136.29,-10171.89,1926.09,11452.87,-13240.15,-7540.66,-23792.75,-32873.49
988.1196,-13128.85,-10143.04,1947.36,11289.65,-13571.07,-7698.11,-23808.2,-32865.58
988.1596,-13141.59,-10143.0,1944.69,11324.79,-13634.87,-7697.34,-23848.92,-32877.4
988.1996,-13135.77,-10149.19,1935.15,11414.34,-13406.56,-7591.44,-23848.63,-32882.65
988.2396,-13146.45,-10174.13,1917.65,11491.25,-13269.28,-7535.94,-23832.75,-32893.57
988.2796,-13136.2,-10167.17,1923.94,11443.0,-13255.07,-7545.04,-23806.91,-32886.27
988.3196,-13126.71,-10145.47,1947.93,11281.21,-13585.19,-7702.07,-23820.07,-32872.68
988.3596,-13153.41,-10162.21,1937.68,11321.16,-13647.75,-7704.93,-23854.16,-32879.4
988.3996,-13155.27,-10165.88,1925.8,11412.24,-13418.96,-7600.98,-23851.68,-32885.36
988.4396,-13141.97,-10162.93,1919.13,11493.64,-13273.05,-7533.69,-23831.04,-32888.51
988.4796,-13126.18,-10153.29,1921.8,11448.96,-13252.83,-7538.75,-23803.09,-32883.74
988.5196,-13122.13,-10139.94,1947.45,11293.13,-13576.46,-7696.68,-23816.21,-32873.97
988.5596,-13152.17,-10157.06,1943.87,11330.32,-13642.88,-7708.98,-23853.88,-32882.41
988.5996,-13146.83,-10157.78,1939.82,11426.26,-13405.75,-7595.4,-23839.33,-32874.87
988.6396,-13144.83,-10166.88,1922.08,11507.46,-13259.75,-7531.64,-23818.78,-32878.93
988.6796,-13130.38,-10152.91,1927.85,11466.74,-13237.43,-7533.46,-23793.75,-32875.49
988.7196,-13113.64,-10123.73,1951.22,11309.91,-13558.1,-7683.71,-23802.38,-32860.38
988.7596,-13135.77,-10140.56,1940.87,11345.15,-13630.15,-7693.29,-23839.67,-32870.73
988.7996,-13136.96,-10147.67,1942.35,11439.37,-13398.6,-7585.72,-23830.94,-32868.29
988.8396,-13134.24,-10158.44,1929.86,11516.14,-13250.69,-7521.49,-23806.05,-32866.62
988.8796,-13121.65,-10149.77,1933.38,11468.94,-13228.13,-7525.25,-23784.31,-32864.34
988.9196,-13111.97,-10129.79,1956.75,11304.52,-13554.67,-7679.99,-23801.62,-32858.28
988.9596,-13138.15,-10139.99,1945.02,11335.71,-13632.97,-7693.58,-23842.43,-32871.54
988.9996,-13133.58,-10141.76,1948.02,11430.46,-13399.08,-7583.09,-23835.52,-32868.82
989.0396,-13136.48,-10157.78,1936.87,11501.12,-13261.51,-7524.21,-23823.6,-32879.88
989.0796,-13121.13,-10147.14,1944.45,11458.97,-13235.52,-7524.35,-23794.61,-32871.92
989.1196,-13115.74,-10125.97,1965.28,11297.13,-13558.68,-7681.18,-23806.53,-32862.95
989.1596,-13150.55,-10149.72,1950.45,11321.36,-13641.69,-7702.11,-23853.5,-32882.07
989.1996,-13156.22,-10162.74,1931.33,11404.32,-13416.96,-7604.08,-23856.93,-32891.61
989.2396,-13155.7,-10176.09,1924.09,11477.57,-13279.3,-7544.57,-23841.57,-32899.53
989.2796,-13141.44,-10170.13,1930.14,11436.85,-13250.45,-7546.76,-23815.35,-32894.81
989.3196,-13135.15,-10142.42,1944.35,11275.25,-13571.74,-7703.93,-23826.7,-32884.79
989.3596,-13162.14,-10156.01,1930.71,11304.0,-13657.48,-7721.81,-23869.71,-32900.29
989.3996,-13156.61,-10160.45,1934.0,11402.94,-13420.11,-7609.75,-23862.17,-32896.81
989.4396,-13157.18,-10175.71,1920.37,11480.43,-13281.54,-7551.0,-23848.49,-32904.96
989.4796,-13142.44,-10164.79,1918.7,11443.28,-13251.59,-7552.39,-23822.5,-32901.05
989.5196,-13131.52,-10142.52,1951.17,11288.36,-13566.97,-7702.54,-23828.56,-32887.75
989.5596,-13156.94,-10154.92,1940.68,11323.02,-13646.41,-7716.51,-23861.98,-32892.9
989.5996,-13151.6,-10159.83,1930.09,11420.44,-13406.09,-7604.65,-23849.97,-32886.6
989.6396,-13149.74,-10172.99,1923.85,11500.5,-13256.65,-7540.99,-23826.13,-32886.94
989.6796,-13135.39,-10162.93,1929.09,11463.6,-13224.65,-7540.47,-23794.84,-32879.31
989.7196,-13117.89,-10130.45,1958.7,11304.81,-13538.7,-7687.38,-23797.71,-32860.86
989.7596,-13136.91,-10143.95,1953.89,11330.46,-13624.77,-7701.78,-23835.61,-32870.58
989.7996,-13134.1,-10150.0,1946.54,11425.16,-13384.63,-7587.0,-23826.6,-32864.43
989.8396,-13129.43,-10157.59,1933.48,11505.03,-13235.9,-7520.25,-23801.33,-32861.09
989.8796,-13111.88,-10144.19,1943.3,11467.32,-13204.05,-7515.57,-23774.58,-32854.66
989.9196,-13095.57,-10112.72,1972.72,11299.47,-13525.77,-7665.97,-23789.93,-32846.5
989.9596,-13112.93,-10117.39,1965.38,11321.59,-13621.95,-7682.09,-23833.37,-32858.33
989.9996,-13123.8,-10131.93,1947.98,11407.23,-13396.12,-7582.24,-23838.33,-32867.15
990.0396,-13125.18,-10144.43,1942.21,11486.48,-13254.21,-7522.15,-23819.74,-32871.39
990.0796,-13118.65,-10142.18,1945.73,11449.39,-13221.79,-7526.68,-23797.56,-32872.2
990.1196,-13117.41,-10127.02,1964.95,11281.83,-13544.89,-7688.38,-23813.3,-32869.58
990.1596,-13145.64,-10141.66,1955.56,11305.72,-13640.83,-7712.84,-23856.21,-32886.22
